Sample	CK_0d	CK_1d	CK_7d	CK_21d	CK_56d	CIP_A_0d	CIP_A_1d	CIP_A_7d	CIP_A_21d	CIP_A_56d	CIP_B_0d	CIP_B_1d	CIP_B_7d	CIP_B_21d	CIP_B_56d	CIP_C_0d	CIP_C_1d	CIP_C_7d	CIP_C_21d	CIP_C_56d	CIP_D_0d	CIP_D_1d	CIP_D_7d	CIP_D_21d	CIP_D_56d	TCS_A_0d	TCS_A_1d	TCS_A_7d	TCS_A_21d	TCS_A_56d	TCS_B_0d	TCS_B_1d	TCS_B_7d	TCS_B_21d	TCS_B_56d	TCS_C_0d	TCS_C_1d	TCS_C_7d	TCS_C_21d	TCS_C_56d	TCS_D_0d	TCS_D_1d	TCS_D_7d	TCS_D_21d	TCS_D_56d	CU_A_0d	CU_A_1d	CU_A_7d	CU_A_21d	CU_A_56d	CU_B_0d	CU_B_1d	CU_B_7d	CU_B_21d	CU_B_56d	CU_C_0d	CU_C_1d	CU_C_7d	CU_C_21d	CU_C_56d	CU_D_0d	CU_D_1d	CU_D_7d	CU_D_21d	CU_D_56d	TCS_CU_0d	TCS_CU_1d	TCS_CU_7d	TCS_CU_21d	TCS_CU_56d	CIP_TCS_0d	CIP_TCS_1d	CIP_TCS_7d	CIP_TCS_21d	CIP_TCS_56d	CIP_CU_0d	CIP_CU_1d	CIP_CU_7d	CIP_CU_21d	CIP_CU_56d	CIP_TCS_CU_0d	CIP_TCS_CU_1d	CIP_TCS_CU_7d	CIP_TCS_CU_21d	CIP_TCS_CU_56d	type	sum
beta-lactam__class A beta-lactamase	0	1.64E-05	6.11E-05	0	5.36E-06	2.96E-05	0	0	0	0	1.57E-04	3.99E-05	0	0	0	0	2.44E-05	0	3.42E-05	2.81E-05	1.63E-05	0	0	0	0	1.06E-05	0	6.31E-05	1.44E-05	7.29E-06	0	4.16E-05	0	0	0	0	0	8.85E-05	0	0	1.21E-05	2.20E-05	0	1.25E-05	1.13E-05	0	4.21E-05	5.96E-05	0	0	0	5.84E-05	4.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34E-05	4.71E-05	0	0	4.49E-05	4.77E-05	3.69E-05	0	5.76E-05	0	1.50E-05	0	0	0	7.26E-05	beta-lactam	0.00126435
multidrug__bicyclomycin-multidrug_efflux_protein_bcr	8.52E-06	0	2.95E-05	1.00E-05	2.94E-05	1.14E-05	0	1.03E-04	2.91E-04	0	0	3.01E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.71E-06	2.09E-05	4.40E-05	0	5.95E-05	2.25E-05	1.30E-04	9.39E-05	1.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37E-04	0	0	0	5.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.22E-05	0	0	0	0	multidrug	0.00122723
trimethoprim__dfrB6	0	2.34E-05	0	0	0	0	0	0	3.86E-05	0	0	0	4.25E-05	0	0	0	0	0	0	0	0	4.74E-05	0	0	0	0	0	0	0	0	0	3.84E-05	0	0	0	0	0	0	9.81E-05	0	0	1.59E-04	3.91E-05	0	2.14E-04	4.24E-05	0	0	3.44E-05	0	4.23E-05	9.46E-05	0	0	4.66E-05	0	3.87E-05	6.89E-05	0	5.39E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.89E-05	0	9.03E-05	0	0	0	0	0	0	0	0	trimethoprim	0.0012415
multidrug__mdtA	8.00E-06	0	0	5.71E-06	0	2.21E-05	1.38E-05	1.32E-04	3.86E-04	9.11E-06	1.28E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.46E-05	0	5.19E-05	0	0	0	5.24E-05	3.22E-05	0	7.71E-06	2.24E-05	0	8.57E-06	0	1.08E-05	0	0	0	0	0	0	0	0	0	0	0	2.29E-05	0	1.63E-05	1.14E-05	1.15E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43E-05	0	0	0	0	1.28E-05	7.84E-05	0	1.41E-05	0	0	1.83E-05	8.11E-05	0	0	multidrug	0.0012247
beta-lactam__VEB-3	0	1.97E-05	0	0	0	1.95E-05	6.66E-05	1.77E-05	4.40E-05	0	0	8.24E-05	0	0	0	3.48E-05	0	6.83E-05	0	0	0	0	0	0	1.02E-04	1.13E-04	0	0	0	0	0	2.96E-05	0	0	0	0	0	0	0	0	1.40E-05	0	0	0	0	5.54E-05	1.73E-04	5.20E-05	0	0	1.49E-05	4.18E-05	1.79E-05	0	0	0	0	0	0	0	6.69E-05	5.07E-05	0	0	0	1.43E-05	8.40E-05	0	0	0	1.65E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.001199
trimethoprim__dfrB3	0	0	0	0	0	0	0	0	0	0	0	0	0	9.54E-05	2.96E-04	0	0	2.76E-04	3.03E-04	0	0	0	4.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17E-04	0	3.12E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	trimethoprim	0.0011643
multidrug__mdtE	0	0	0	7.58E-06	6.47E-06	0	0	2.39E-05	3.05E-04	0	0	8.85E-05	1.22E-05	3.83E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.28E-05	1.29E-05	4.67E-05	0	6.75E-05	9.35E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.86E-05	7.14E-06	0	0	1.32E-04	2.33E-05	0	0	6.14E-05	0	0	0	0	0	9.19E-06	0	0	0	0	0	0	2.45E-05	0	0	0	0	0	0	0	3.84E-05	1.48E-05	0	0	3.89E-05	0	0	0	multidrug	0.00112358
tetracycline__tetR	0	0	2.66E-05	0	1.44E-05	0	0	0	0	0	2.87E-05	0	0	0	0	0	3.15E-05	0	0	0	0	0	3.35E-05	1.46E-05	0	0	0	2.39E-05	1.44E-05	0	0	0	0	0	0	0	1.60E-05	0	0	0	0	3.22E-05	2.06E-05	0	0	1.67E-05	2.14E-05	0	0	0	0	2.57E-05	0	1.94E-05	0	0	1.66E-05	0	0	0	0	0	6.39E-05	0	0	0	1.10E-04	3.24E-05	1.86E-05	2.40E-05	0	0	0	0	1.90E-05	0	0	4.42E-04	0	0	0	0	1.60E-05	0	0	tetracycline	0.0010821
multidrug__adeC	0	0	7.28E-05	0	3.27E-06	1.22E-05	0	0	0	0	0	0.001	0	0	0	0	7.71E-05	0	3.30E-05	0	0	2.87E-05	0	0	0	2.26E-05	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	7.41E-06	0	0	0	0	4.04E-05	0	0	0	0	0	0	9.26E-06	0	0	0	0	9.72E-06	0	1.19E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.39E-06	0	0	0	0	0	0	multidrug	0.00134575
unclassified__cob(I)alamin adenolsyltransferase	0	0	0	0	1.82E-05	4.52E-05	0	4.96E-05	1.81E-04	0	1.78E-05	3.48E-05	0	0	0	2.71E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93E-05	0	1.36E-04	2.65E-05	0	0	0	0	0	0	0	0	0	0	0	3.09E-05	0	0	0	0	0	3.24E-04	0	0	0	3.96E-05	0	0	2.26E-05	0	0	0	0	0	0	0	4.53E-05	0	2.29E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unclassified	0.0010408
tetracycline__tetE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tetracycline	0.0010103
unclassified__DNA-binding_protein_H-NS	0	0	0	0	4.50E-05	0	0	0	2.18E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.15E-05	0	0	0	5.43E-05	2.65E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.71E-04	0	0	0	1.06E-04	0	0	0	0	7.08E-05	0	0	0	0	7.54E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.72E-05	0	0	0	unclassified	0.0009957
puromycin__puromycin resistance protein	3.68E-06	2.21E-05	0	0	0	8.47E-05	2.54E-05	1.73E-05	6.18E-06	0	0	1.07E-05	0	4.01E-05	5.53E-05	1.09E-04	5.09E-05	2.16E-05	3.19E-05	1.53E-05	1.13E-05	2.48E-05	1.04E-05	0	8.49E-06	2.85E-05	1.24E-05	0	0	0	2.60E-05	3.04E-05	0	0	0	4.13E-05	5.25E-05	0	0	0	3.22E-05	0	0	0	0	3.82E-05	0	0	0	0	1.78E-05	8.36E-06	0	0	0	3.23E-05	2.24E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.52E-06	7.95E-06	0	0	0	3.73E-05	0	0	0	3.38E-05	1.45E-05	0	0	0	puromycin	0.00099258
fosfomycin__fosB	0	0	3.78E-05	0	0	0	0	0	1.36E-04	0	0	1.00E-04	0	0	0	1.36E-04	1.39E-04	0	0	5.24E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07E-04	0	0	0	0	9.34E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.05E-05	0	0	0	0	0	0	0	0	0	0	0	1.25E-04	0	0	0	0	0	0	0	0	fosfomycin	0.0009671
multidrug__abeS	2.76E-05	0	8.14E-05	0	0	4.23E-05	0	0	0	0	0	3.15E-04	0	0	0	0	6.61E-05	0	6.40E-05	6.63E-05	1.18E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.46E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.27E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	multidrug	0.000888
multidrug__ykkD	0	0	0	9.80E-06	0	0	0	0	2.87E-05	0	0	1.68E-04	0	2.69E-05	0	0	0	2.75E-05	0	0	3.30E-05	0	0	0	0	0	3.86E-05	0	1.88E-05	0	3.88E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47E-04	0	0	0	0	2.86E-05	3.54E-05	0	0	3.48E-05	0	0	0	0	0	0	0	0	3.52E-05	0	0	8.63E-05	8.26E-05	8.42E-05	0	0	0	0	3.51E-05	0	0	0	0	0	multidrug	0.0009593
tetracycline__tet35	1.63E-05	1.16E-05	0	0	0	2.42E-05	0	0	0	2.30E-05	0	0	0	0	0	0	0	0	0	0	1.42E-05	0	0	0	0	0	0	2.26E-04	2.35E-05	0	2.45E-05	2.54E-05	0	0	0	0	1.06E-05	0	0	0	0	0	3.24E-05	0	0	0	0	1.33E-05	0	0	2.34E-05	0	0	0	0	1.30E-05	0	0	2.58E-05	0	0	4.03E-05	4.55E-05	1.34E-05	0	0	8.97E-05	4.62E-05	0	0	0	0	0	0	2.92E-05	0	0	0	0	0	3.49E-05	0	0	1.22E-05	1.44E-05	tetracycline	0.000833
beta-lactam__OXA-209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.07E-04	2.22E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13E-04	1.97E-04	3.43E-05	0	0	0	0	0	0	0	0	1.90E-05	2.11E-05	beta-lactam	0.0008136
beta-lactam__OXA-34	0	0	0	0	0	0	2.16E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29E-05	4.49E-04	0	0	0	0	0	4.45E-05	0	0	0	0	0	0	0	0	0	0	0	3.31E-05	0	0	0	0	0	0	0	0	0	0	1.65E-05	2.10E-05	0	0	0	0	4.26E-05	0	0	0	0	1.57E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0007982
beta-lactam__OXA-118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	1.89E-05	0	0	0	3.40E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0010729
macrolide-lincosamide-streptogramin__lsa	0	0	1.06E-04	0	0	0	0	0	2.05E-05	1.80E-05	0	0	0	1.56E-05	1.87E-05	0	0	0	0	7.35E-06	0	3.50E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.04E-05	0	0	0	0	0	0	0	0	6.60E-05	5.99E-05	0	0	0	0	2.21E-05	0	0	0	0	0	0	0	0	0	1.98E-05	0	8.06E-06	0	0	2.67E-05	1.09E-05	1.37E-05	0	1.86E-05	0	0	3.58E-05	0	0	0	6.90E-06	1.60E-05	3.55E-05	5.30E-05	1.04E-05	1.57E-05	0	macrolide-lincosamide-streptogramin	0.00068061
tetracycline__tetX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.02E-04	9.36E-06	0	0	1.31E-04	1.36E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93E-05	1.86E-05	0	0	0	0	0	0	0	0	0	0	tetracycline	0.00071626
tetracycline__tetT	1.36E-05	2.25E-06	1.84E-06	9.34E-06	5.10E-06	1.10E-05	0	4.97E-06	0	0	9.54E-06	0	0	4.13E-06	4.24E-06	0	0	0	4.37E-06	0	0	0	0	0	2.82E-05	2.89E-05	1.75E-05	0	0	1.63E-05	0	0	4.84E-06	0	0	0	0	0	4.14E-06	0	4.78E-06	0	9.04E-06	2.21E-05	1.71E-05	0	0	4.49E-06	8.87E-06	9.17E-06	8.07E-06	9.10E-06	0	0	0	1.00E-05	0	5.46E-05	3.20E-05	0	0	0	0	0	0	0	0	0	0	3.64E-05	1.54E-05	8.62E-06	3.22E-05	2.69E-05	1.15E-04	4.19E-06	0	0	0	5.29E-05	0	0	0	0	5.01E-06	tetracycline	0.0006562
aminoglycoside__aac(6')-30-aac(6')-Ib'	0	0	0	0	0	0	0	1.38E-05	0	0	0	0	0	2.78E-05	5.03E-05	0	0	1.02E-04	1.10E-04	3.51E-05	0	0	0	2.26E-05	1.22E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83E-05	0	0	0	0	0	0	0	2.46E-04	2.32E-05	0	0	0	0	0	0	0	0	1.05E-05	0	0	aminoglycoside	0.0006818
tetracycline__tetX3	0	0	0	0	0	0	0	0	0	1.29E-05	0	0	0	0	0	0	0	0	3.57E-04	0	0	0	7.32E-05	8.56E-05	8.05E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.54E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51E-05	9.79E-05	0	0	0	0	0	0	0	0	9.53E-06	0	0	tetracycline	0.00067468
macrolide-lincosamide-streptogramin__lnuA	0	0	0	0	0	0	0	0	0	0	0	0	6.21E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.16E-05	0	0	0	0	0	0	0	0	6.07E-05	0	1.85E-04	0	0	3.36E-05	0	0	0	0	0	0	0	0	0	0	5.34E-05	1.72E-04	0	0	0	0	0	0	0	0	macrolide-lincosamide-streptogramin	0.000671
beta-lactam__OXA-29	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	8.64E-05	0	0	2.18E-05	5.75E-05	0	0	0	0	3.71E-04	1.04E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.000666
macrolide-lincosamide-streptogramin__vatA	8.61E-06	0	0	1.77E-05	0	0	1.04E-04	1.48E-05	0	0	0	0	0	3.77E-05	0	0	2.17E-05	0	0	0	2.88E-05	1.64E-05	0	0	0	1.13E-05	0	1.43E-05	0	0	0	0	0	0	0	1.07E-05	0	0	0	0	0	0	0	0	1.95E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63E-05	0	0	0	2.63E-05	0	0	0	0	5.40E-05	0	0	0	0	0	3.12E-05	0	0	0	macrolide-lincosamide-streptogramin	0.00062881
beta-lactam__penA	3.67E-06	3.03E-06	7.52E-06	0	5.29E-06	7.76E-06	0	0	0	0	3.44E-05	2.06E-05	9.40E-06	0	0	5.54E-05	0	5.96E-05	0	0	0	0	5.05E-05	5.80E-06	0	0	0	0	0	0	1.05E-05	0	0	0	0	6.48E-06	1.46E-05	0	0	0	0	1.15E-05	0	1.26E-05	5.00E-06	9.18E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31E-05	0	0	2.26E-05	1.72E-05	0	0	0	2.30E-04	8.29E-06	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.00062402
beta-lactam__OXA-205	0	1.06E-05	0	0	0	0	0	0	0	0	0	0	1.83E-05	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	9.53E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.00103843
beta-lactam__MOX-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44E-05	5.45E-05	0	0	0	0	0	0	beta-lactam	0.0010689
vancomycin__vanS	0	0	1.35E-05	0	2.11E-05	0	0	1.35E-05	2.21E-05	1.05E-05	0	0	0	0	0	0	0	0	0	0	0	2.42E-05	0	9.78E-06	0	0	0	0	5.09E-05	2.03E-05	0	0	0	0	0	0	0	1.36E-05	0	0	0	0	0	0	1.18E-05	1.12E-05	0	1.41E-05	0	0	0	0	0	4.55E-05	0	0	1.52E-05	0	0	0	0	3.16E-05	0	0	9.45E-06	0	0	0	1.41E-05	0	1.19E-05	0	0	4.12E-05	0	0	0	0	2.28E-05	2.16E-05	0	0	1.23E-05	1.97E-05	4.96E-05	vancomycin	0.00053153
beta-lactam__ampC	0	0	0	0	0	0	0	2.87E-05	0	0	0	8.59E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.11E-06	8.16E-06	1.64E-05	4.97E-05	0	0	0	0	0	0	0	0	0	0	8.65E-06	0	1.99E-05	0	0	0	0	0	0	0	3.04E-05	0	0	0	0	0	0	0	0	0	0	4.61E-05	0	0	0	0	3.71E-05	0	0	0	3.17E-05	0	0	0	0	1.28E-05	1.18E-04	0	0	4.57E-05	0	7.16E-06	0	beta-lactam	0.00055448
tetracycline__tetV	0	0	0	0	3.65E-06	7.79E-06	0	4.57E-05	0	0	0	0	0	0	0	0	0	0	8.40E-06	0	0	0	0	6.31E-05	0	0	0	0	0	8.39E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	3.91E-05	2.11E-05	0	0	0	0	0	0	0	5.18E-05	0	2.64E-05	0	0	0	0	1.89E-04	0	0	0	0	0	1.75E-05	0	0	0	0	0	0	4.74E-05	0	9.15E-06	0	0	0	0	0	0	0	0	0	0	tetracycline	0.00053848
macrolide-lincosamide-streptogramin__vatG	0	0	2.36E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26E-05	0	0	0	0	0	0	0	0	2.80E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.28E-04	0	0	0	2.60E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	macrolide-lincosamide-streptogramin	0.0005182
fosfomycin__fosA	0	0	0	0	0	1.35E-04	0	0	6.46E-05	0	0	8.08E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.27E-05	2.06E-05	0	0	4.04E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17E-04	0	0	0	0	0	2.04E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fosfomycin	0.0005415
chloramphenicol__cmlA	0	0	0	0	0	0	0	0	0	0	0	6.85E-05	0	5.04E-05	0	0	0	0	8.16E-05	0	0	0	0	5.08E-05	0	0	0	0	0	0	5.23E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63E-04	5.60E-05	0	0	0	1.39E-05	chloramphenicol	0.0005365
unclassified__sdiA	0	0	0	0	2.45E-05	0	0	4.56E-05	2.07E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12E-05	0	0	0	1.62E-04	0	0	0	0	0	0	2.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unclassified	0.0005062
tetracycline__tetX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06E-04	0	0	0	3.94E-05	1.61E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12E-04	0	0	0	0	0	0	0	0	0	0	0	tetracycline	0.0005184
beta-lactam__mecI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.41E-05	0	0	1.68E-04	0	0	0	3.25E-05	1.05E-04	0	0	0	1.09E-04	5.95E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0005181
beta-lactam__OXA-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.56E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96E-05	0	0	0	1.50E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0004906
beta-lactam__VEB-2	8.98E-06	0	0	0	0	0	1.86E-05	0	0	0	0	7.08E-05	0	0	0	0	0	7.40E-05	0	0	0	0	0	0	1.83E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.16E-05	1.99E-04	1.71E-05	0	0	0	0	0	0	0	0	0	0	0	0	1.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.00046508
beta-lactam__CARB-6	0	0	0	0	0	1.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.78E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.95E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0004232
multidrug__mdtN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.17E-05	0	0	0	1.11E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19E-04	0	0	0	0	0	0	0	0	0	0	0	4.21E-05	0	0	0	0	0	0	0	5.43E-05	1.02E-05	4.14E-05	0	0	0	0	1.35E-05	0	multidrug	0.0004233
beta-lactam__LRA-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76E-05	5.70E-05	1.42E-05	0	0	0	1.37E-04	0	0	0	5.37E-05	0	1.59E-05	0	6.48E-05	0	0	0	0	0	1.82E-05	3.06E-05	0	beta-lactam	0.0004216
beta-lactam__THIN-B	2.37E-05	1.52E-05	5.80E-06	0	0	1.20E-05	0	0	0	7.74E-06	0	0	0	0	0	0	2.43E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61E-05	0	0	0	0	0	0	0	3.81E-05	0	0	0	0	0	0	0	1.34E-05	0	0	0	0	1.20E-05	3.94E-05	0	0	3.62E-05	1.74E-05	2.62E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.78E-05	0	2.85E-05	0	0	beta-lactam	0.00036384
beta-lactam__OXA-84	0	0	0	0	0	1.65E-05	0	0	0	0	0	1.94E-04	0	0	0	1.85E-05	1.37E-04	0	0	0	0	3.11E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0003971
beta-lactam__OXA-2	4.60E-06	0	0	0	6.47E-06	0	0	0	0	0	0	0	0	0	1.48E-05	0	0	1.34E-05	2.91E-05	8.05E-06	0	0	0	0	1.78E-05	0	0	0	0	0	0	0	0	0	0	0	2.01E-05	0	0	0	0	0	4.11E-05	0	0	0	0	0	0	0	0	0	1.07E-05	0	2.16E-05	0	0	0	0	3.12E-05	0	0	0	0	1.52E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11E-05	0	0	0	0	0	beta-lactam	0.00038202
tetracycline__tetK	0	0	0	0	1.09E-05	0	0	0	0	0	3.02E-05	1.35E-04	0	0	0	0	0	0	0	1.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.39E-05	0	0	0	0	0	2.68E-05	0	0	4.46E-05	8.04E-06	0	0	0	9.30E-06	3.04E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tetracycline	0.00034584
beta-lactam__CMY-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19E-05	2.89E-04	0	0	0	0	0	0	beta-lactam	0.0003259
